Year,Stage,Technology,Cost
2040,mine,clay,436.2966876108573
2041,mine,brine,415.52065486748313
2041,mine,spod,415.52065486748313
2041,mine,clay,415.52065486748313
2042,mine,brine,395.7339570166506
2042,mine,spod,395.7339570166506
2042,mine,clay,395.7339570166506
2043,mine,brine,376.8894828730006
2043,mine,spod,376.8894828730006
2043,mine,clay,376.8894828730006
2044,mine,brine,358.942364640953
2044,mine,spod,358.942364640953
2044,mine,clay,358.942364640953
2045,mine,brine,341.8498710866219
2045,mine,spod,341.8498710866219
2045,mine,clay,341.8498710866219
2046,mine,brine,325.57130579678267
2046,mine,spod,325.57130579678267
2046,mine,clay,325.57130579678267
2047,mine,brine,310.0679102826502
2047,mine,spod,310.0679102826502
2047,mine,clay,310.0679102826502
2048,mine,brine,295.3027716977621
2048,mine,spod,295.3027716977621
2048,mine,clay,295.3027716977621
2049,mine,brine,281.2407349502496
2049,mine,spod,281.2407349502496
2049,mine,clay,281.2407349502496
2050,mine,brine,267.8483190002377
2050,mine,spod,267.8483190002377
2050,mine,clay,267.8483190002377
2051,mine,brine,255.09363714308355
2051,mine,spod,255.09363714308355
2051,mine,clay,255.09363714308355
2052,mine,brine,242.94632108865096
2052,mine,spod,242.94632108865096
2052,mine,clay,242.94632108865096
2053,mine,brine,231.37744865585813
2053,mine,spod,231.37744865585813
2053,mine,clay,231.37744865585813
2054,mine,brine,220.359474910341
2054,mine,spod,220.359474910341
2054,mine,clay,220.359474910341
2055,mine,brine,209.86616658127716
2055,mine,spod,209.86616658127716
2055,mine,clay,209.86616658127716
2056,mine,brine,199.87253960121635
2056,mine,spod,199.87253960121635
2056,mine,clay,199.87253960121635
2057,mine,brine,190.35479962020605
2057,mine,spod,190.35479962020605
2057,mine,clay,190.35479962020605
2058,mine,brine,181.29028535257714
2058,mine,spod,181.29028535257714
2058,mine,clay,181.29028535257714
2059,mine,brine,172.65741462150208
2059,mine,spod,172.65741462150208
2059,mine,clay,172.65741462150208
2060,mine,brine,164.4356329728591
2060,mine,spod,164.4356329728591
2060,mine,clay,164.4356329728591
2061,mine,brine,156.60536473605632
2061,mine,spod,156.60536473605632
2061,mine,clay,156.60536473605632
2062,mine,brine,149.1479664152917
2062,mine,spod,149.1479664152917
2062,mine,clay,149.1479664152917
2063,mine,brine,142.04568230027783
2063,mine,spod,142.04568230027783
2063,mine,clay,142.04568230027783
2064,mine,brine,135.28160219074078
2064,mine,spod,135.28160219074078
2064,mine,clay,135.28160219074078
2065,mine,brine,128.83962113403885
2065,mine,spod,128.83962113403885
2065,mine,clay,128.83962113403885
2066,mine,brine,122.70440108003697
2066,mine,spod,122.70440108003697
2066,mine,clay,122.70440108003697
2067,mine,brine,116.86133436194
2067,mine,spod,116.86133436194
2067,mine,clay,116.86133436194
2068,mine,brine,111.2965089161333
2068,mine,spod,111.2965089161333
2068,mine,clay,111.2965089161333
2069,mine,brine,105.99667515822222
2069,mine,spod,105.99667515822222
2069,mine,clay,105.99667515822222
2070,mine,brine,100.94921443640209
2070,mine,spod,100.94921443640209
2070,mine,clay,100.94921443640209
2071,mine,brine,96.14210898704961
2071,mine,spod,96.14210898704961
2071,mine,clay,96.14210898704961
2072,mine,brine,91.56391332099962
2072,mine,spod,91.56391332099962
2072,mine,clay,91.56391332099962
2073,mine,brine,87.2037269723806
2073,mine,spod,87.2037269723806
2073,mine,clay,87.2037269723806
2074,mine,brine,83.05116854512437
2074,mine,spod,83.05116854512437
2074,mine,clay,83.05116854512437
2075,mine,brine,79.09635099535654
2075,mine,spod,79.09635099535654
2075,mine,clay,79.09635099535654
2076,mine,brine,75.32985809081576
2076,mine,spod,75.32985809081576
2076,mine,clay,75.32985809081576
2077,mine,brine,71.7427219912531
2077,mine,spod,71.7427219912531
2077,mine,clay,71.7427219912531
2078,mine,brine,68.32640189643152
2078,mine,spod,68.32640189643152
2078,mine,clay,68.32640189643152
2079,mine,brine,65.07276371088717
2079,mine,spod,65.07276371088717
2079,mine,clay,65.07276371088717
2080,mine,brine,61.974060677035396
2080,mine,spod,61.974060677035396
2080,mine,clay,61.974060677035396
2081,mine,brine,59.0229149305099
2081,mine,spod,59.0229149305099
2081,mine,clay,59.0229149305099
2082,mine,brine,56.21229993381895
2082,mine,spod,56.21229993381895
2082,mine,clay,56.21229993381895
2083,mine,brine,53.53552374649424
2083,mine,spod,53.53552374649424
2083,mine,clay,53.53552374649424
2084,mine,brine,50.986213091899266
2084,mine,spod,50.986213091899266
2084,mine,clay,50.986213091899266
2085,mine,brine,48.55829818276123
2085,mine,spod,48.55829818276123
2085,mine,clay,48.55829818276123
2086,mine,brine,46.245998269296386
2086,mine,spod,46.245998269296386
2086,mine,clay,46.245998269296386
2087,mine,brine,44.04380787552037
2087,mine,spod,44.04380787552037
2087,mine,clay,44.04380787552037
2088,mine,brine,41.94648369097178
2088,mine,spod,41.94648369097178
2088,mine,clay,41.94648369097178
2089,mine,brine,39.94903208663979
2089,mine,spod,39.94903208663979
2089,mine,clay,39.94903208663979
2090,mine,brine,38.046697225371226
2090,mine,spod,38.046697225371226
2090,mine,clay,38.046697225371226
2091,mine,brine,36.23494973844879
2091,mine,spod,36.23494973844879
2091,mine,clay,36.23494973844879
2092,mine,brine,34.5094759413798
2092,mine,spod,34.5094759413798
2092,mine,clay,34.5094759413798
2093,mine,brine,32.86616756321886
2093,mine,spod,32.86616756321886
2093,mine,clay,32.86616756321886
2094,mine,brine,31.30111196497034
2094,mine,spod,31.30111196497034
2094,mine,clay,31.30111196497034
2095,mine,brine,29.810582823781274
2095,mine,spod,29.810582823781274
2095,mine,clay,29.810582823781274
2096,mine,brine,28.39103126074407
2096,mine,spod,28.39103126074407
2096,mine,clay,28.39103126074407
2097,mine,brine,27.039077391184833
2097,mine,spod,27.039077391184833
2097,mine,clay,27.039077391184833
2098,mine,brine,25.751502277318885
2098,mine,spod,25.751502277318885
2098,mine,clay,25.751502277318885
2099,mine,brine,24.525240264113226
2099,mine,spod,24.525240264113226
2099,mine,clay,24.525240264113226
2100,mine,brine,23.35737168010783
2100,mine,spod,23.35737168010783
2100,mine,clay,23.35737168010783
